Modified Dist2 [id: 2]	
6.36769	-8.88042
3.5394	-0.268334
-3.90284	3.46619
7.66001	0.57534
0.799108	7.9429
8.2293	-7.10687
0.797445	-2.43733
7.26643	-2.34622
3.99145	6.22968
4.04714	-0.0864981
6.65195	-14.2356
7.27169	11.2153
5.34371	-4.21026
8.88885	7.75422
9.97876	-16.3877
9.13867	-3.86786
-1.23315	10.7232
3.5913	9.69702
3.75347	20.7992
9.94407	2.89877
-2.53719	-12.5435
3.68728	12.5841
2.85107	-10.7356
4.14683	6.07467
3.83414	-1.04182
8.62936	17.7751
5.37933	13.0173
4.65151	-2.21374
1.04143	11.6608
7.16654	28.1737
0.0240964	-6.11592
7.58123	1.16003
2.94874	-2.3343
-0.983711	7.65942
6.56186	5.40502
-2.35418	9.55796
9.11505	18.9442
6.9465	8.75051
2.21538	-2.93988
2.77712	-6.51125
4.59322	4.31721
8.36787	11.3581
8.34257	-7.54978
9.60596	-7.54279
4.77669	3.71817
8.10494	5.0804
1.50889	4.61314
-2.53388	12.1284
5.50156	2.49952
1.7226	5.75359
6.12656	4.11478
5.304	-0.200064
8.99925	10.0226
4.25072	3.95011
2.22612	8.81865
6.40288	2.48606
4.05002	10.6683
2.99639	6.00004
5.72787	29.1182
4.67847	-1.84773
4.73231	-9.55251
-0.671409	-0.130475
2.67168	-4.73822
-2.58133	7.28955
-3.67487	-1.89319
6.2516	2.29052
-1.44578	15.251
7.01099	3.97064
-1.77267	-11.6121
4.0344	13.7266
9.04944	11.6676
6.97483	6.33809
8.45103	6.19187
-3.86015	1.33468
4.80207	-0.966378
5.8468	13.5436
6.50962	4.4934
8.5975	9.00867
4.27807	-4.36859
9.72107	13.8813
7.99466	-19.335
5.88689	25.0433
5.41934	-1.01382
5.40717	9.93347
1.92375	-1.14951
-0.247042	4.82259
7.15104	-1.51483
-0.975012	-15.2025
8.19437	7.25547
0.999156	7.41309
3.48966	22.4476
11.5553	-1.33449
1.89801	5.03544
-2.72591	3.3524
2.08484	-3.8333
3.57791	0.158515
5.81862	-6.36103
7.69758	5.23329
10.3615	-8.37134
3.80005	13.2298
5.90436	-2.83066
5.12072	13.3778
9.41441	3.33912
8.05695	21.2349
4.4075	-5.07578
4.9319	-4.63539
2.06214	20.6971
-0.316583	11.4702
2.56902	14.31
2.23158	8.28253
9.80724	-1.07144
6.51445	5.07429
3.07492	7.57596
0.317843	-11.5414
7.82104	7.95062
5.27027	6.59383
-0.164639	18.34
4.45957	22.9856
8.61147	7.29614
3.62158	-8.96873
5.74023	-0.220102
1.3077	10.2192
3.97436	2.05252
2.73526	-1.83594
3.68816	7.3074
0.18471	-5.298
2.42378	-2.08628
4.65807	12.8339
6.71288	-7.88291
-0.0898244	16.4621
4.49815	-5.41158
0.423879	-4.8385
2.64804	8.65965
12.3674	10.0489
8.60193	-5.14855
6.55998	5.36579
6.43176	2.48917
11.3833	4.40841
6.88129	3.30646
2.23904	20.3094
0.175316	9.91113
2.44307	1.04115
2.70274	-0.336204
7.88437	9.57317
10.0967	-4.33787
1.98663	2.64306
2.25788	-1.95101
6.47308	4.84721
8.16251	2.03415
5.64244	-7.74608
2.17538	16.4217
6.04757	-17.6288
1.47055	-2.5042
12.7508	-6.70478
3.05118	-9.4363
9.96498	12.9007
3.57114	-1.40199
-3.42324	-14.7136
0.916732	19.3959
3.52327	2.8191
-2.87739	14.8905
7.36372	10.8244
3.44334	9.15589
0.635532	2.58727
0.908397	15.5615
3.1013	-0.989332
4.90528	7.73093
-0.362168	13.011
12.5761	-7.06066
7.97149	8.06446
0.734342	9.96228
1.69485	12.8234
-0.155292	14.9308
0.63282	8.80755
7.76276	6.99932
-6.3195	5.29787
-0.228665	0.819428
9.5748	10.3366
6.8118	-0.427678
2.56274	13.4747
-1.91212	1.49274
1.64589	11.6047
13.0393	5.25743
0.415898	5.51075
4.09544	1.53433
7.70214	-4.17838
1.71788	6.08789
1.36589	1.6934
7.03926	11.6449
0.222737	-3.00319
4.57472	-5.48911
4.75191	-11.2513
10.6975	-6.45376
11.4407	6.69908
0.701095	-11.4018
0.727694	-1.29577
1.69536	-2.64765
-5.43765	1.54386
-0.130691	5.81795
2.58667	13.2042
6.03075	11.3259
1.32614	-2.57601
6.35758	-1.26965
0.195705	3.01237
5.82183	2.38611
7.38793	15.2206
6.44117	8.48678
0.807535	1.50264
1.83204	17.0759
-3.95136	21.5382
4.51624	5.23538
7.71146	22.2175
-1.92131	18.1592
0.422801	12.2466
7.54698	-9.25712
0.985292	2.95807
8.03458	10.2942
8.33394	13.729
3.87594	2.88761
3.34325	6.94083
0.560267	3.63514
4.07945	1.98224
9.42485	19.6046
9.63524	18.3699
1.7237	2.35618
1.11405	10.0606
-5.64223	-0.330759
6.56788	14.2803
10.169	10.8417
8.25413	2.7463
10.7695	0.57355
5.64917	5.05268
-0.975024	0.0360724
1.66954	2.40503
2.70794	-3.19005
10.6461	-4.97042
1.64768	9.3413
0.858183	10.0037
-0.58639	9.73229
-0.224582	4.13142
0.734352	-1.53526
10.8444	9.87547
0.94412	16.2003
3.80286	-13.5152
5.51795	10.2635
5.121	16.0732
-0.617126	10.1401
0.78356	11.1875
0.775971	-0.685924
1.14284	19.5564
2.98844	12.2181
8.10052	12.8779
2.73669	3.07198
-6.44031	4.26778
1.50592	14.1789
-3.41078	13.8921
-3.6725	12.1892
3.17825	7.59728
4.81419	6.42346
1.20834	-1.41669
5.75842	10.7824
7.57072	-5.30349
10.8279	13.4895
1.99399	-3.31405
-4.14987	11.5443
6.18192	-1.1259
2.8246	12.3432
1.14512	0.0126093
6.12256	5.29716
0.0660651	-0.266655
2.15872	8.74476
6.48501	-1.71715
4.49282	9.53883
4.08831	6.6285
-1.98932	2.22819
-0.747645	-0.834794
3.02542	23.8528
3.73617	-9.97842
-1.16947	9.1347
-1.50107	-0.018814
7.72348	-9.69775
-3.00262	0.834233
4.54568	0.353614
3.50949	16.1771
3.99944	-1.30011
3.13788	-3.78459
2.06249	-0.544214
9.79267	8.34337
8.5239	12.3751
0.732488	4.34343
3.89495	-3.44345
-0.266042	6.45992
3.93801	0.272161
3.11567	4.2931
1.16775	2.93085
7.42313	7.87501
-3.84853	1.56664
2.08846	2.67188
9.54502	-1.26641
-1.18275	3.94458
-2.02162	0.267222
2.04914	-5.88945
-1.35398	9.06901
11.4329	-1.61971
2.12779	6.49289
0.704538	3.17886
8.6403	2.04324
2.61771	4.69373
7.3991	10.3062
2.90683	9.20519
10.3746	-4.0525
-0.000373519	12.08
2.95981	-3.16187
7.05704	-5.7192
4.05871	15.625
9.7302	4.49351
-1.35275	-3.36147
4.096	6.07283
0.588472	12.5106
5.44211	0.659233
4.59748	8.75762
0.0994635	7.58309
9.25202	5.04574
7.9826	10.2084
3.65819	14.2307
-0.457763	16.9519
9.73422	-0.776542
-0.649965	-6.25019
2.62914	22.2733
0.670889	0.829842
4.73562	-3.66406
0.670429	0.220533
0.0989533	1.16713
9.12034	2.40602
10.6922	12.6069
3.87507	6.10E-05
-5.25708	20.3056
9.58383	14.2903
3.13486	2.05278
-1.06791	5.53863
6.86504	-2.30383
-1.70415	4.62222
6.75014	-6.02186
4.24676	2.70202
7.29076	4.6547
10.5175	10.228
3.31226	1.41545
1.39899	0.340181
3.18465	0.350048
7.43649	14.2512
4.30338	-4.54538
1.06618	0.579435
0.736275	5.98669
5.76621	0.509841
-0.967209	7.50521
-1.11573	8.55429
-0.303589	2.22477
11.799	-4.51502
7.92828	18.3876
8.71464	9.12477
3.59276	5.9561
2.38529	13.8674
9.1898	4.52156
-6.01213	-6.82947
3.73044	13.0972
11.6736	10.5123
-3.73475	1.75969
2.72115	4.20126
5.17331	6.72854
2.8006	7.36525
6.56103	15.6971
2.21431	10.3633
8.46604	20.6066
7.32818	-5.133
0.745306	19.5029
4.87103	3.11609
-1.79945	7.99243
5.11636	1.05107
6.49873	2.95338
6.42087	-1.01384
4.60441	8.43014
3.47719	5.94765
4.29197	-9.96042
5.74855	13.8821
2.43869	-7.40552
5.29591	16.8636
5.23835	1.72298
-0.527921	9.19344
6.19983	4.57288
-4.58245	0.24018
4.66201	2.12626
5.81683	-5.75986
9.98638	3.33244
0.492984	7.8894
6.62408	9.21933
-1.50105	-2.24968
3.76482	-5.1613
2.64523	-4.55634
0.744401	9.35065
8.16046	8.51699
0.442723	-2.28917
2.53052	12.861
-0.425488	22.0387
9.37155	6.46262
11.8333	5.03111
2.166	8.97365
6.56476	12.7291
2.86141	3.61856
2.11107	9.26913
3.03306	-1.71799
1.06885	1.73329
1.48672	12.1786
5.6047	4.01796
8.71401	3.25376
0.49569	-0.213134
2.53899	12.279
7.29538	-6.77827
5.8367	-3.53245
12.4365	16.9226
0.761902	17.3431
6.79506	1.0156
13.7414	3.62915
0.779902	14.1112
-3.60754	-1.79422
2.46208	19.5862
3.72013	1.85919
3.83724	-3.22482
1.96281	9.604
2.46886	1.40695
-5.50098	-10.6487
-2.81473	3.31266
10.6146	3.69666
3.96803	7.90237
2.37848	3.11767
0.939547	12.566
6.58242	1.23616
3.53324	-6.71178
0.662464	3.79423
5.82798	10.481
4.90409	19.0098
3.6721	3.29455
6.98225	5.40814
2.64083	13.2702
-2.77913	8.93273
4.15215	18.3101
0.514626	1.83724
-0.220681	8.17012
6.22282	4.01647
5.03904	-0.924945
5.291	9.37137
-5.66162	4.9271
-5.03371	8.64736
9.68708	4.43929
3.26906	10.8355
3.6168	8.95226
1.87595	-13.2494
8.18893	-1.86688
-1.74206	0.036224
6.02386	1.40023
10.5461	1.75156
-0.827662	0.569448
5.7711	-11.1791
5.41309	7.57867
5.62292	3.16551
6.99941	-4.72554
-3.05473	7.52241
0.00926166	-2.41658
2.63855	7.14145
4.35809	5.40153
9.73869	-12.0743
6.24201	8.68111
-1.83679	-1.53916
-1.33916	7.44512
3.72962	-8.61276
2.64521	-1.30549
1.86134	21.1634
5.08255	2.50065
10.385	-0.788358
-0.0164771	4.12405
0.787047	9.74608
4.09163	16.2195
0.883722	-0.516622
3.88751	8.4691
2.40972	2.55048
5.63887	-3.40879
0.342245	-2.30605
7.35028	8.05083
7.72185	3.97032
3.51536	6.05396
4.37451	2.94149
3.5983	17.5769
0.681096	-6.28685
5.60017	5.18211
-0.760632	8.30927
4.64094	8.54738
1.96877	8.32515
5.47607	-11.2732
5.85762	13.2797
-1.87484	8.75823
6.86193	6.91741
-4.97827	2.3746
9.54977	7.42277
3.62511	3.98218
5.15375	0.369366
-2.12651	6.0518
1.26207	16.0763
-2.4337	-2.75054
11.9738	1.3243
6.85183	1.27649
4.2205	-6.37062
1.00786	1.37545
1.25043	6.30037
1.32359	4.63123
9.16928	-0.373862
6.04596	15.1988
4.66998	-7.08831
2.76447	5.65547
2.38466	10.6243
5.29604	3.44784
-2.8192	10.395
1.6196	12.1108
2.57802	13.6212
5.37605	1.49376
2.50563	15.3931
2.2284	-15.5313
-1.3604	12.2858
0.635169	6.22721
4.37063	14.9486
7.67317	6.8939
4.59306	3.29886
2.60849	9.26714
3.72312	6.89797
3.28375	-5.51699
-2.76149	4.41923
6.21193	4.03465
1.32519	7.00465
0.187495	2.02866
4.96623	4.19088
15.5621	11.6435
7.62708	4.69541
7.22098	1.64538
3.8655	-11.2425
-0.34734	-9.5083
0.68314	-4.24153
1.84107	-7.99308
3.91374	8.6516
7.28939	14.494
-0.775573	1.03648
4.85625	20.8498
2.80804	3.00728
5.22833	-4.74584
11.5303	13.0254
4.93516	-2.20423
0.600247	-5.73464
6.2673	-12.0151
6.13448	7.87232
-1.3986	-0.139652
3.3954	13.8328
8.10426	-9.07915
2.57349	-6.62404
-0.203874	-1.93445
10.9949	0.844453
8.23795	7.8636
2.84617	-4.38452
4.26165	-3.4682
3.67972	9.29568
0.0437853	18.4727
-1.38681	15.5142
1.60233	-9.73006
-1.3705	-2.95848
5.29199	-2.61072
4.09658	8.2592
5.53243	4.0473
0.381209	3.04975
7.55742	7.96047
6.64562	7.98677
3.96746	-2.66466
13.8036	19.4456
-0.74587	2.99721
8.35365	7.24832
1.60577	-0.824276
0.675677	13.9525
10.6798	12.2296
9.61747	3.19453
3.31966	18.2912
1.79014	-1.48591
4.88068	0.842907
4.59333	18.9411
6.92585	-9.58264
4.46066	3.32016
-1.39199	15.5236
0.033469	4.401
11.4731	5.12001
4.92627	-3.95145
3.18166	-3.25412
5.76981	-15.2114
1.49304	5.94377
6.70396	15.3409
1.76768	5.89637
0.812583	5.29471
-4.61462	-2.11281
3.48394	2.89777
1.11516	16.2809
-0.188604	1.03973
4.28128	-3.59383
4.82964	1.64903
5.48508	1.84018
2.54718	13.5898
0.256549	-0.4752
1.72351	4.36871
7.92665	-13.0496
0.507917	11.1511
-3.9278	4.59963
1.31344	6.68943
-0.895371	5.17272
0.733668	17.1727
3.57621	10.5048
0.562394	11.1236
2.34863	-3.20265
0.285361	2.9319
7.40264	0.366187
2.03307	-4.32789
2.57116	8.96159
8.98074	5.93508
1.49871	6.21043
7.25994	9.82029
6.12968	-1.19473
-2.19718	3.76862
3.10307	-1.3355
1.51124	1.18984
-0.535082	2.64661
3.4668	16.3091
-2.4417	10.882
0.774478	4.89023
1.60731	9.43741
7.92081	10.9783
0.949539	-1.61046
-0.89586	-5.64068
7.41554	3.18279
-3.11361	10.6285
1.96025	-1.17054
2.61041	-1.14515
0.628798	-4.68941
13.7373	-2.25011
3.16897	11.0113
5.1443	4.57863
11.3811	12.5804
2.33017	15.9579
7.51802	9.63644
4.44567	-4.53086
2.61907	4.82878
6.46231	-0.437276
4.34234	-2.61044
7.92773	-12.9746
2.0217	-2.39123
-1.07082	0.0519798
1.85527	3.93111
3.87619	13.5674
4.80246	-12.7075
5.57862	-4.02509
5.26556	10.9583
3.92215	3.76954
4.42446	0.0225023
1.24449	19.8704
3.49296	-4.99296
4.50403	3.21243
-1.11802	7.9434
1.73211	3.71846
-1.9893	-5.39365
3.5638	1.16953
2.80488	17.138
4.23882	15.6059
-0.406541	15.5266
-3.46521	16.6563
4.21748	-10.6321
5.80613	9.04588
7.76298	0.228295
1.7864	-4.97262
9.5799	8.90244
8.69688	1.80882
-2.22326	-1.83776
1.03692	3.55834
-1.9051	-3.02398
3.52932	3.45115
1.25551	-4.74441
11.5988	-3.15323
5.36174	12.977
6.17614	9.59471
1.38157	0.741246
10.2614	17.6746
7.36611	9.30924
7.73669	20.8003
5.91261	12.2988
8.00832	5.93105
4.89779	-7.57923
2.97865	2.18272
-4.84094	0.227362
4.85323	-2.98767
2.36102	1.72812
5.12395	-1.19414
2.81735	15.9086
9.82082	11.7722
1.7167	7.47731
3.29089	-1.78955
2.24849	7.34498
8.84547	8.04752
-2.48493	8.0758
3.19001	1.97885
1.93191	5.57439
1.11448	8.12836
-0.704793	18.0994
-1.55776	-5.67136
5.04334	-3.94787
0.975548	2.60338
5.29824	12.7781
7.35985	6.54178
12.1166	10.4855
6.92608	-3.95145
7.38786	-3.39181
8.99055	-2.06255
2.32381	5.72846
2.80632	24.2073
2.4993	4.14249
7.69485	26.5619
-4.42943	1.79555
2.05896	6.2493
3.01919	17.6927
4.94596	-2.2608
0.935815	-2.50637
1.5283	-9.8999
-0.363026	-2.4547
7.38606	11.2913
7.68788	3.76472
9.30477	-1.98139
12.7977	-14.0167
3.44013	-9.14328
5.61332	-11.2875
3.56595	3.36606
-0.192121	5.42124
4.77929	-1.04893
10.2975	6.67066
4.35142	22.574
7.95841	-1.19633
12.2113	-3.89059
1.11762	2.04447
-1.26681	16.9397
1.15776	-10.0145
-4.47522	19.0672
3.48368	-6.41365
1.23653	-6.85676
4.70988	19.1806
0.872919	10.2922
7.61315	0.548965
7.00659	21.6903
3.08595	9.22332
4.52407	2.13648
9.6578	7.32757
-1.60705	-4.90978
10.2182	-10.7092
2.99844	11.2561
3.61898	-2.1468
10.4712	-3.35946
-1.27344	4.66804
4.67824	-9.52981
-0.974728	11.7694
5.68553	15.5375
3.76877	1.80436
4.78862	-5.45522
7.96635	4.42293
11.0351	7.70437
4.96884	13.2741
3.00498	12.2056
5.80477	12.2555
6.36157	-0.515022
2.57716	12.0279
8.92058	0.112931
-2.22394	-0.473042
4.49065	11.2793
1.79325	9.30612
1.00192	11.6158
8.91988	-2.14584
1.36921	15.6339
2.54207	-5.82734
0.547181	11.4685
4.18355	-7.57742
0.185981	12.6959
3.06172	-12.958
-0.794237	-3.07939
4.32809	-4.20053
6.68333	17.1989
13.1229	9.73011
3.81881	9.14592
-0.219582	5.5618
4.90245	-0.088578
3.23543	8.32602
5.20539	9.02643
7.81531	-0.578698
1.05185	5.67577
13.6144	0.839386
-0.826412	-4.14819
11.1033	14.0393
5.59535	-0.784492
5.93373	-7.12837
8.42542	-5.8448
8.98445	-13.6632
8.49176	18.4081
10.854	-0.168947
1.77644	5.22919
8.86696	20.5169
8.86747	-0.844309
-0.487304	8.68094
-0.198361	9.01522
3.60645	10.0292
6.574	12.0093
8.08838	-7.73091
2.20926	-0.115242
0.888339	0.86101
9.95762	2.26369
8.21847	12.8234
5.41569	1.19794
6.71446	-2.53267
2.56176	10.0371
7.5503	-8.04088
5.0318	-1.70035
5.76442	-11.6223
-0.994009	-13.1232
4.89695	5.03316
3.67304	3.17377
6.37599	14.4113
10.5772	-4.68453
-1.20765	1.72827
8.83624	13.1897
9.1658	6.1219
-3.50215	-9.40639
0.668783	3.4355
2.59873	4.84737
2.87061	15.0368
3.69094	3.83604
1.71255	9.50047
-0.0224292	-8.55731
6.309	2.15878
6.35167	-14.2898
-0.657314	0.526124
5.28934	2.98539
3.52653	-8.48269
1.52201	-0.385041
-3.02078	5.22703
0.419435	23.5363
8.10026	-8.65243
3.77524	10.1923
5.31801	4.80043
0.700701	9.03216
-1.44312	-4.86624
6.56882	4.27208
-1.50008	6.17738
2.62341	11.1156
2.22229	3.41283
7.60347	-11.249
7.17914	12.0331
-1.51148	7.43128
7.66996	2.76325
1.3591	2.51075
8.37595	-0.777484
-0.09566	11.7885
7.10975	7.33276
-2.24426	-3.85141
6.77892	5.04384
6.11422	0.396018
7.23015	-11.4674
4.67567	4.19053
4.10911	8.85955
3.90157	-4.11216
5.98128	13.6726
11.1388	13.3868
3.71972	18.4889
11.7941	8.91938
8.44837	6.81807
0.584778	6.49316
3.96647	-14.0683
-5.1942	10.4837
-5.00606	-1.51097
-2.30065	6.02117
5.22856	14.6746
6.31096	18.6094
-0.378908	-2.77289
-0.894242	28.993
5.93496	27.901
-6.86592	15.7466
-2.56893	3.75907
-1.14358	13.3225
7.91649	-8.14252
-0.514103	4.70861
2.64951	8.70484
4.79559	-2.23504
7.45292	8.70944
4.2218	-4.01035
3.09186	-0.151573
3.09819	4.3637
4.25682	17.393
-0.105046	1.32378
2.32968	-2.77263
10.477	-3.5352
4.9987	26.1755
1.44901	-7.96932
1.92976	2.77395
8.14014	0.417851
5.80188	2.55314
9.01024	-3.08238
2.5048	-14.9592
-4.38819	3.17162
6.73512	22.1525
0.23888	-5.53076
0.115969	-4.86508
1.67262	0.391862
3.73988	-1.80413
3.99896	12.1415
1.77034	-4.9193
4.9521	5.64006
3.85149	-12.8271
5.87372	0.266431
4.46147	5.61393
12.8251	5.90126
0.673133	-0.891338
1.28926	-7.50228
-2.33803	2.52507
1.15875	12.8925
6.59516	7.41742
1.46391	9.76532
1.725	19.0241
-0.920719	2.5476
1.1352	6.96576
10.132	16.6508
-5.94386	5.43173
6.91534	-9.17587
8.41237	-7.1942
3.60782	-9.33506
-1.31477	9.90945
1.01049	8.5138
6.04392	8.5549
4.24626	10.663
0.772808	12.7031
6.63566	25.8216
3.8598	3.56383
-1.32282	-9.09633
8.65126	2.58897
-0.128689	-3.92086
-1.03139	-19.5579
5.23945	0.684881
4.46029	2.93641
3.69468	-4.80655
4.65222	-9.63687
6.91321	-5.33029
2.18551	-2.33531
2.67254	5.07181
2.91206	-3.25325
6.40403	13.5539
1.78923	-1.0427
0.937375	7.46444
2.33897	13.9797
3.85116	1.13827
2.23569	8.19137
6.16554	3.82016
-0.0652626	-5.19309
1.31613	0.0245342
1.0594	10.0165
5.91477	23.8255
3.19692	2.06388
9.58008	7.4381
1.28389	9.90834
-2.01859	8.41844
5.41388	-0.473657
3.67107	11.8385
-1.49216	9.36801
2.61805	4.56071
8.52002	2.17535
-1.60475	7.64287
0.388253	-4.77036
8.58357	-4.13182
8.04987	-4.13917
5.63091	2.00361
-4.35099	4.81608
7.35766	11.3493
1.19746	6.04464
12.6613	3.49793
2.61639	14.8832
5.4784	6.10708
4.88734	1.67545
-0.644481	-1.34343
0.407834	15.2949
5.92185	-1.44893
3.27163	-1.61693
-2.5641	1.19011
2.32751	12.4014
6.0711	10.6772
12.1069	0.151235
3.54861	-1.14371
-2.17097	1.39819
1.26002	2.99743
-0.183877	-1.5657
-1.06302	2.61719
11.1646	5.5333
2.26142	-12.7771
5.47197	-2.50519
3.1953	3.93032
5.04914	8.74008
7.30611	-0.191448
2.39683	-7.01128
2.76279	-0.715634
0.403174	5.80859
0.0382414	3.84421
0.014191	6.77401
5.66445	11.5623
2.52626	7.46736
3.66384	-2.30142
11.9768	0.502614
1.48112	0.0434559
8.25022	-1.62953
4.04619	8.15185
-1.2434	0.942119
7.07974	23.6807
2.23288	-0.770855
-8.16384	5.39107
0.787826	-11.0736
10.1152	12.6014
2.35112	16.5397
0.716989	-6.18036
10.2511	4.18863
6.10919	7.50136
7.92897	-8.24305
3.12767	9.03466
-0.75923	23.3779
4.6884	11.3318
2.93	5.58196
3.71209	19.6664
1.66296	3.21264
9.69371	7.91592
11.128	8.41207
1.45861	11.5242
-3.88087	-6.85736
-4.75681	8.20303
0.991433	24.1648
10.0648	-1.27527
0.660281	-0.770024
-3.76709	2.58605
5.04713	-8.22816
-0.789678	7.44746
4.58142	2.01575
7.76799	6.55716
8.4839	7.20401
1.10187	17.6103
6.68136	11.5401
2.85012	2.0745
0.177699	2.19524
2.70284	15.9364
4.9882	-6.96989
10.5673	3.70122
2.09788	7.18777
3.96517	-5.08467
-4.81283	0.653528
4.97474	-2.50537
-1.57615	-18.05
1.1685	3.32577
-2.08999	6.19488
6.95913	-3.87754
3.12832	-1.62962
1.32413	1.97013
6.28767	-16.5867
-3.89793	4.45163
-1.57774	-3.71041
7.73867	2.01568
6.09444	7.77169
0.690654	7.73475
-1.43799	14.6075
-2.9206	0.53516
4.00865	2.61216
9.68045	-0.556372
4.79413	-2.3487
-6.93148	0.173745
9.74513	6.36994
-3.77421	6.47361
5.02986	7.29026
2.62092	-0.913177
-4.82531	-5.76884
15	15.7362
1.67762	-5.06638
8.28695	17.6954
5.19734	5.8302
4.06954	7.62097
6.26799	3.14024
6.08273	3.40054
4.84701	23.2523
8.37185	-7.12652
5.71504	21.3153
4.06827	3.48907
8.57628	3.64854
1.1405	7.71266
3.68134	-8.73239
1.67785	-12.6319
7.54168	-1.6937
15.2992	-10.4359
6.77282	3.09109
7.11483	-7.67255
0.512475	-1.95854
8.78404	7.44493
10.3011	-4.85858
3.91233	8.43376
4.33098	-0.919367
6.60166	5.91035
1.1571	16.2612
11.9312	10.0657
-0.292248	0.042708
4.03987	-2.59097
-0.131285	6.49973
3.1326	10.7349
0.481707	7.58736
2.33568	9.96062
1.20378	6.70925
8.53368	13.5639
11.0511	19.3821
2.9993	-2.9114
1.96485	8.3243
3.20698	0.517517
6.75493	3.23528
5.07506	-4.18028
2.77315	-1.58082
7.20855	1.12522
2.09285	6.59876
2.74046	-1.79328
8.62332	-3.84774
-0.237838	6.47887
3.87267	3.02018
0.195817	3.0974
10.4213	6.07179
5.77006	17.1553
8.116	6.89076
2.29416	-1.76813
1.23292	1.54837
8.36132	6.65586
4.41329	12.786
2.4136	-3.4026
4.73855	9.53096
1.09424	13.2405
2.40341	6.50911
10.7321	-3.60868
6.74598	-0.382626
8.60804	-14.9617
3.34353	11.9952
7.17516	2.89348
1.76173	-14.2637
7.86277	-3.17049
1.65686	7.01205
5.60178	3.24251
5.71714	7.33823
5.50605	-5.35401
-2.03089	10.477
4.43802	-1.05147
2.52508	1.71559
-0.1942	6.20598
-0.436181	1.64938
1.51738	1.12919
11.2538	-13.8495
7.05182	2.64787
4.99167	7.56373
2.51031	-7.78965
5.62302	17.0829
10.3002	9.00884
6.14882	18.5988
4.78264	12.3048
7.45588	7.62069
-2.91365	7.62244
4.15312	7.25298
2.86721	-2.09518
3.77382	7.19313
0.930274	9.07173
10.2834	22.2304
-1.911	1.25105
2.39255	0.925802
11.5868	8.24254
7.05473	3.87836
7.06691	14.7972
-0.00995338	5.80025
6.36334	11.2558
3.38199	6.65884
-2.66452	5.26336
5.41297	-3.36553
9.71176	-20.3635
2.84615	4.75087
2.39978	7.45067
3.92078	10.8051
7.58581	5.83664
6.29718	-1.25883
9.94051	12.669
2.47837	2.74422
8.62827	-3.66422
4.03497	-7.29224
0.245215	-3.92817
2.32717	8.40641
-1.73975	3.66856
9.56403	5.66959
0.141592	-12.5918
4.82769	8.36707
4.48526	-8.11011
5.57522	2.4882
4.09745	14.1993
5.52844	8.39951
5.44817	20.0274
4.28097	-3.3795
10.2128	-9.89962
2.52035	15.0369
7.90229	7.17635
3.08325	-11.5319
-0.920475	-2.91321
3.88556	19.4739
1.05976	0.992555
6.84836	12.0544
1.85186	13.2073
2.87145	3.86353
5.9162	0.208756
5.98622	10.1698
5.03517	12.4618
7.19221	0.991504
2.48191	4.56258
6.00453	15.965
3.7916	-10.3049
7.18667	3.9832
10.0291	-0.592519
6.68224	5.39852
11.2303	10.1125
11.9005	2.88595
0.214235	1.62512
2.72344	-4.90161
2.31817	-19.2548
0.664174	-8.52528
5.92684	-13.3575
2.58706	3.28617
2.02052	3.84008
7.01809	10.5832
-4.40895	6.19444
6.20042	5.54107
